Time, Voltage
0.0000,1.6457
0.0017,1.6507
0.0032,1.6457
0.0048,1.6457
0.0064,1.6507
0.0080,1.6507
0.0096,1.6457
0.0112,1.6507
0.0128,1.6457
0.0144,1.6507
0.0160,1.6457
0.0176,1.6507
0.0192,1.6507
0.0207,1.6457
0.0223,1.6507
0.0239,1.6507
0.0255,1.6457
0.0271,1.6507
0.0287,1.6558
0.0303,1.6457
0.0319,1.6558
0.0335,1.6457
0.0350,1.6457
0.0366,1.6457
0.0382,1.6507
0.0398,1.6507
0.0414,1.6507
0.0430,1.6457
0.0446,1.6507
0.0462,1.6507
0.0477,1.6507
0.0493,1.6558
0.0509,1.6507
0.0525,1.6507
0.0541,1.6457
0.0557,1.6507
0.0573,1.6507
0.0589,1.6457
0.0605,1.6507
0.0621,1.6558
0.0637,1.6507
0.0652,1.6457
0.0668,1.6507
0.0684,1.6558
0.0700,1.6507
0.0716,1.6507
0.0732,1.6406
0.0748,1.6406
0.0764,1.6457
0.0780,1.6507
0.0796,1.6507
0.0812,1.6507
0.0827,1.6507
0.0843,1.6507
0.0859,1.6507
0.0875,1.6507
0.0891,1.6507
0.0907,1.6507
0.0923,1.6457
0.0939,1.6457
0.0955,1.6457
0.0971,1.6507
0.0987,1.6457
0.1002,1.6507
0.1018,1.6507
0.1034,1.6507
0.1050,1.6457
0.1066,1.6457
0.1082,1.6507
0.1098,1.6406
0.1114,1.6457
0.1130,1.6507
0.1146,1.6507
0.1162,1.6507
0.1178,1.6507
0.1194,1.6507
0.1209,1.6558
0.1225,1.6507
0.1241,1.6507
0.1257,1.6507
0.1273,1.6507
0.1289,1.6558
0.1305,1.6457
0.1321,1.6507
0.1337,1.6457
0.1353,1.6507
0.1369,1.6507
0.1384,1.6507
0.1400,1.6507
0.1416,1.6507
0.1433,1.6457
0.1450,1.6507
0.1466,1.6507
0.1482,1.6457
0.1498,1.6507
0.1514,1.6507
0.1530,1.6507
0.1546,1.6507
0.1561,1.6507
0.1577,1.6507
0.1593,1.6558
0.1610,1.6507
0.1626,1.6507
0.1643,1.6507
0.1659,1.6507
0.1675,1.6406
0.1691,1.6457
0.1708,1.6507
0.1724,1.6507
0.1740,1.6457
0.1757,1.6507
0.1773,1.6457
0.1789,1.6507
0.1805,1.6507
0.1821,1.6507
0.1837,1.6457
0.1853,1.6507
0.1869,1.6457
0.1885,1.6507
0.1901,1.6507
0.1917,1.6507
0.1933,1.6507
0.1949,1.6507
0.1964,1.6457
0.1980,1.6507
0.1996,1.6406
0.2012,1.6457
0.2028,1.6457
0.2044,1.6457
0.2060,1.6457
0.2076,1.6507
0.2092,1.6507
0.2108,1.6457
0.2124,1.6507
0.2140,1.6507
0.2155,1.6507
0.2171,1.6457
0.2187,1.6507
0.2203,1.6507
0.2219,1.6507
0.2235,1.6457
0.2251,1.6507
0.2267,1.6507
0.2283,1.6558
0.2299,1.6507
0.2315,1.6507
0.2330,1.6507
0.2346,1.6507
0.2362,1.6507
0.2378,1.6507
0.2394,1.6457
0.2410,1.6507
0.2426,1.6507
0.2442,1.6507
0.2458,1.6507
0.2474,1.6558
0.2490,1.6457
0.2505,1.6457
0.2521,1.6457
0.2537,1.6507
0.2553,1.6507
0.2569,1.6507
0.2585,1.6457
0.2601,1.6507
0.2617,1.6457
0.2633,1.6507
0.2649,1.6507
0.2665,1.6507
0.2680,1.6507
0.2696,1.6507
0.2712,1.6507
0.2728,1.6507
0.2744,1.6507
0.2760,1.6507
0.2776,1.6507
0.2792,1.6457
0.2808,1.6457
0.2824,1.6507
0.2840,1.6457
0.2855,1.6507
0.2871,1.6507
0.2887,1.6457
0.2903,1.6507
0.2919,1.6507
0.2935,1.6457
0.2951,1.6507
0.2967,1.6558
0.2983,1.6507
0.2999,1.6507
0.3016,1.6507
0.3032,1.6507
0.3052,1.6507
0.3069,1.6457
0.3085,1.6457
0.3101,1.6457
0.3117,1.6457
0.3133,1.6457
0.3149,1.6457
0.3165,1.6507
0.3181,1.6406
0.3196,1.6507
0.3212,1.6457
0.3228,1.6507
0.3244,1.6406
0.3260,1.6507
0.3276,1.6406
0.3292,1.6507
0.3309,1.6457
0.3325,1.6507
0.3341,1.6507
0.3357,1.6507
0.3373,1.6507
0.3389,1.6507
0.3405,1.6507
0.3421,1.6507
0.3437,1.6457
0.3452,1.6457
0.3468,1.6507
0.3484,1.6507
0.3500,1.6457
0.3516,1.6507
0.3532,1.6507
0.3548,1.6507
0.3564,1.6507
0.3580,1.6457
0.3596,1.6507
0.3612,1.6457
0.3627,1.6457
0.3643,1.6507
0.3659,1.6457
0.3675,1.6507
0.3691,1.6507
0.3707,1.6507
0.3723,1.6457
0.3739,1.6507
0.3755,1.6507
0.3771,1.6507
0.3787,1.6457
0.3802,1.6507
0.3818,1.6507
0.3834,1.6457
0.3850,1.6507
0.3866,1.6507
0.3882,1.6507
0.3898,1.6507
0.3914,1.6507
0.3930,1.6507
0.3946,1.6507
0.3962,1.6457
0.3977,1.6507
0.3993,1.6507
0.4009,1.6507
0.4025,1.6507
0.4041,1.6507
0.4057,1.6507
0.4073,1.6457
0.4089,1.6558
0.4105,1.6507
0.4121,1.6507
0.4137,1.6507
0.4152,1.6558
0.4168,1.6507
0.4184,1.6507
0.4200,1.6507
0.4216,1.6507
0.4232,1.6507
0.4248,1.6507
0.4264,1.6457
0.4280,1.6507
0.4296,1.6507
0.4312,1.6507
0.4328,1.6507
0.4344,1.6457
0.4359,1.6507
0.4375,1.6507
0.4391,1.6558
0.4407,1.6406
0.4423,1.6457
0.4439,1.6457
0.4455,1.6457
0.4471,1.6507
0.4487,1.6507
0.4503,1.6457
0.4519,1.6457
0.4534,1.6507
0.4550,1.6558
0.4566,1.6457
0.4582,1.6507
0.4598,1.6507
0.4614,1.6507
0.4630,1.6507
0.4646,1.6507
0.4662,1.6507
0.4678,1.6507
0.4694,1.6558
0.4709,1.6507
0.4725,1.6507
0.4741,1.6558
0.4757,1.6507
0.4773,1.6507
0.4789,1.6507
0.4805,1.6507
0.4821,1.6507
0.4837,1.6558
0.4853,1.6507
0.4868,1.6507
0.4884,1.6507
0.4900,1.6457
0.4916,1.6457
0.4932,1.6507
0.4948,1.6457
0.4964,1.6457
0.4980,1.6457
0.4996,1.6507
0.5012,1.6457
0.5028,1.6507
0.5044,1.6457
0.5060,1.6507
0.5075,1.6507
0.5091,1.6457
0.5107,1.6507
0.5123,1.6457
0.5139,1.6507
0.5155,1.6457
0.5171,1.6457
0.5187,1.6507
0.5203,1.6507
0.5219,1.6507
0.5235,1.6507
0.5251,1.6457
0.5267,1.6507
0.5282,1.6457
0.5298,1.6507
0.5314,1.6507
0.5330,1.6507
0.5346,1.6507
0.5362,1.6507
0.5379,1.6507
0.5395,1.6507
0.5412,1.6457
0.5428,1.6507
0.5444,1.6507
0.5461,1.6507
0.5477,1.6507
0.5493,1.6507
0.5509,1.6507
0.5525,1.6507
0.5541,1.6507
0.5557,1.6507
0.5573,1.6507
0.5590,1.6507
0.5606,1.6507
0.5622,1.6507
0.5639,1.6507
0.5655,1.6507
0.5671,1.6457
0.5687,1.6507
0.5703,1.6507
0.5719,1.6507
0.5736,1.6507
0.5752,1.6507
0.5768,1.6507
0.5784,1.6507
0.5800,1.6507
0.5817,1.6507
0.5833,1.6457
0.5849,1.6457
0.5865,1.6507
0.5881,1.6507
0.5898,1.6507
0.5914,1.6507
0.5930,1.6558
0.5946,1.6507
0.5962,1.6507
0.5979,1.6507
0.5995,1.6507
0.6011,1.6457
0.6027,1.6457
0.6043,1.6507
0.6059,1.6457
0.6076,1.6507
0.6092,1.6507
0.6108,1.6457
0.6124,1.6507
0.6140,1.6507
0.6156,1.6507
0.6173,1.6507
0.6189,1.6507
0.6205,1.6507
0.6221,1.6507
0.6238,1.6507
0.6254,1.6507
0.6270,1.6507
0.6286,1.6457
0.6302,1.6406
0.6318,1.6507
0.6335,1.6507
0.6351,1.6507
0.6367,1.6507
0.6383,1.6457
0.6399,1.6457
0.6416,1.6507
0.6432,1.6457
0.6448,1.6457
0.6464,1.6507
0.6480,1.6457
0.6497,1.6507
0.6513,1.6507
0.6529,1.6457
0.6545,1.6507
0.6561,1.6507
0.6579,1.6507
0.6596,1.6507
0.6613,1.6558
0.6630,1.6507
0.6647,1.6507
0.6663,1.6457
0.6679,1.6507
0.6695,1.6507
0.6712,1.6507
0.6729,1.6558
0.6746,1.6457
0.6763,1.6507
0.6780,1.6507
0.6796,1.6507
0.6813,1.6507
0.6829,1.6507
0.6845,1.6507
0.6861,1.6507
0.6877,1.6507
0.6893,1.6507
0.6909,1.6457
0.6925,1.6507
0.6942,1.6507
0.6958,1.6457
0.6974,1.6507
0.6990,1.6507
0.7006,1.6507
0.7022,1.6507
0.7038,1.6507
0.7055,1.6507
0.7071,1.6457
0.7087,1.6457
0.7103,1.6507
0.7119,1.6558
0.7135,1.6457
0.7151,1.6507
0.7167,1.6507
0.7183,1.6507
0.7199,1.6507
0.7215,1.6406
0.7231,1.6457
0.7248,1.6507
0.7264,1.6457
0.7280,1.6507
0.7296,1.6558
0.7312,1.6507
0.7328,1.6507
0.7344,1.6507
0.7360,1.6507
0.7377,1.6457
0.7393,1.6457
0.7409,1.6507
0.7426,1.6507
0.7443,1.6457
0.7460,1.6457
0.7477,1.6457
0.7493,1.6507
0.7509,1.6507
0.7525,1.6507
0.7541,1.6507
0.7557,1.6507
0.7573,1.6507
0.7589,1.6457
0.7605,1.6507
0.7622,1.6507
0.7638,1.6507
0.7654,1.6507
0.7670,1.6457
0.7686,1.6457
0.7702,1.6507
0.7719,1.6507
0.7735,1.6558
0.7751,1.6558
0.7767,1.6507
0.7784,1.6507
0.7800,1.6507
0.7816,1.6457
0.7832,1.6457
0.7849,1.6507
0.7865,1.6507
0.7881,1.6507
0.7897,1.6507
0.7913,1.6457
0.7930,1.6457
0.7946,1.6507
0.7962,1.6406
0.7978,1.6507
0.7994,1.6507
0.8011,1.6507
0.8027,1.6507
0.8043,1.6457
0.8059,1.6457
0.8075,1.6457
0.8091,1.6457
0.8108,1.6457
0.8124,1.6457
0.8140,1.6457
0.8156,1.6406
0.8173,1.6507
0.8189,1.6406
0.8205,1.6457
0.8221,1.6507
0.8237,1.6507
0.8253,1.6457
0.8269,1.6507
0.8286,1.6507
0.8302,1.6457
0.8318,1.6507
0.8334,1.6457
0.8350,1.6507
0.8366,1.6507
0.8382,1.6507
0.8398,1.6507
0.8415,1.6457
0.8431,1.6507
0.8447,1.6558
0.8464,1.6457
0.8480,1.6507
0.8496,1.6507
0.8512,1.6507
0.8528,1.6457
0.8545,1.6507
0.8561,1.6507
0.8577,1.6507
0.8593,1.6406
0.8609,1.6507
0.8625,1.6507
0.8642,1.6507
0.8658,1.6507
0.8674,1.6406
0.8690,1.6457
0.8706,1.6507
0.8722,1.6507
0.8738,1.6507
0.8754,1.6457
0.8771,1.6457
0.8787,1.6457
0.8803,1.6507
0.8819,1.6507
0.8835,1.6507
0.8851,1.6457
0.8868,1.6507
0.8884,1.6457
0.8900,1.6457
0.8916,1.6507
0.8932,1.6507
0.8949,1.6507
0.8965,1.6507
0.8982,1.6457
0.8998,1.6457
0.9015,1.6507
0.9031,1.6507
0.9047,1.6507
0.9063,1.6507
0.9079,1.6457
0.9095,1.6457
0.9111,1.6507
0.9127,1.6507
0.9144,1.6507
0.9160,1.6507
0.9176,1.6507
0.9192,1.6457
0.9208,1.6507
0.9225,1.6507
0.9241,1.6507
0.9316,1.6507
0.9333,1.6507
0.9349,1.6507
0.9365,1.6507
0.9382,1.6507
0.9398,1.6457
0.9414,1.6507
0.9430,1.6507
0.9446,1.6507
0.9462,1.6507
0.9479,1.6507
0.9495,1.6457
0.9511,1.6507
0.9527,1.6457
0.9543,1.6507
0.9559,1.6507
0.9575,1.6406
0.9592,1.6507
0.9608,1.6457
0.9624,1.6507
0.9640,1.6457
0.9657,1.6507
0.9673,1.6507
0.9689,1.6507
0.9705,1.6507
0.9721,1.6507
0.9737,1.6507
0.9753,1.6457
0.9770,1.6457
0.9786,1.6507
0.9802,1.6558
0.9818,1.6457
0.9834,1.6457
0.9850,1.6507
0.9867,1.6457
0.9883,1.6507
0.9899,1.6507
0.9915,1.6507
0.9931,1.6406
0.9947,1.6457
0.9963,1.6507
0.9980,1.6507
0.9996,1.6507
1.0012,1.6507
1.0028,1.6457
1.0044,1.6507
1.0060,1.6507
1.0076,1.6507
1.0093,1.6507
1.0109,1.6507
1.0125,1.6457
1.0141,1.6507
1.0157,1.6507
1.0173,1.6507
1.0190,1.6507
1.0206,1.6507
1.0222,1.6507
1.0238,1.6457
1.0254,1.6507
1.0270,1.6507
1.0286,1.6457
1.0303,1.6507
1.0319,1.6507
1.0335,1.6558
1.0351,1.6507
1.0367,1.6507
1.0383,1.6507
1.0399,1.6507
1.0416,1.6507
1.0432,1.6507
1.0448,1.6507
1.0464,1.6507
1.0480,1.6507
1.0496,1.6457
1.0513,1.6507
1.0529,1.6507
1.0545,1.6457
1.0561,1.6558
1.0577,1.6457
1.0593,1.6406
1.0611,1.6457
1.0627,1.6507
1.0643,1.6457
1.0659,1.6507
1.0675,1.6457
1.0691,1.6457
1.0707,1.6507
1.0724,1.6507
1.0740,1.6457
1.0756,1.6457
1.0772,1.6558
1.0788,1.6507
1.0804,1.6507
1.0820,1.6507
1.0836,1.6507
1.0852,1.6507
1.0868,1.6507
1.0884,1.6507
1.0901,1.6457
1.0917,1.6507
1.0933,1.6507
1.0949,1.6457
1.0965,1.6507
1.0981,1.6507
1.0997,1.6507
1.1014,1.6507
1.1030,1.6457
1.1046,1.6507
1.1062,1.6457
1.1078,1.6507
1.1094,1.6507
1.1110,1.6457
1.1126,1.6507
1.1142,1.6457
1.1159,1.6457
1.1206,1.6558
1.1222,1.6457
1.1238,1.6507
1.1254,1.6457
1.1270,1.6507
1.1287,1.6558
1.1303,1.6507
1.1319,1.6507
1.1335,1.6507
1.1351,1.6507
1.1367,1.6507
1.1383,1.6406
1.1399,1.6507
1.1415,1.6507
1.1432,1.6507
1.1449,1.6507
1.1465,1.6507
1.1482,1.6457
1.1499,1.6507
1.1516,1.6507
1.1532,1.6507
1.1548,1.6507
1.1565,1.6558
1.1582,1.6558
1.1599,1.6507
1.1617,1.6507
1.1634,1.6406
1.1651,1.6507
1.1667,1.6507
1.1684,1.6507
1.1700,1.6558
1.1718,1.6457
1.1735,1.6507
1.1753,1.6457
1.1769,1.6507
1.1819,1.6507
1.1836,1.6457
1.1853,1.6457
1.1869,1.6507
1.1885,1.6457
1.1901,1.6507
1.1917,1.6507
1.1934,1.6507
1.1950,1.6457
1.1967,1.6507
1.1983,1.6507
1.2000,1.6507
1.2016,1.6507
1.2032,1.6507
1.2048,1.6406
1.2065,1.6507
1.2081,1.6507
1.2097,1.6507
1.2113,1.6457
1.2129,1.6507
1.2145,1.6507
1.2161,1.6507
1.2178,1.6507
1.2194,1.6507
1.2210,1.6507
1.2226,1.6507
1.2242,1.6507
1.2258,1.6457
1.2275,1.6507
1.2291,1.6457
1.2307,1.6457
1.2323,1.6558
1.2339,1.6507
1.2355,1.6558
1.2371,1.6457
1.2387,1.6507
1.2404,1.6558
1.2420,1.6507
1.2436,1.6507
1.2452,1.6457
1.2468,1.6507
1.2484,1.6507
1.2500,1.6507
1.2516,1.6507
1.2533,1.6457
1.2549,1.6507
1.2565,1.6507
1.2581,1.6507
1.2597,1.6457
1.2613,1.6507
1.2631,1.6457
1.2647,1.6507
1.2663,1.6457
1.2679,1.6507
1.2694,1.6457
1.2710,1.6507
1.2726,1.6457
1.2742,1.6457
1.2758,1.6507
1.2774,1.6507
1.2790,1.6507
1.2806,1.6507
1.2822,1.6558
1.2838,1.6507
1.2853,1.6507
1.2869,1.6457
1.2885,1.6507
1.2901,1.6507
1.2917,1.6507
1.2933,1.6507
1.2949,1.6558
1.2965,1.6507
1.2981,1.6507
1.2997,1.6507
1.3013,1.6457
1.3029,1.6507
1.3045,1.6507
1.3061,1.6558
1.3077,1.6457
1.3093,1.6457
1.3109,1.6507
1.3125,1.6507
1.3140,1.6558
1.3156,1.6457
1.3172,1.6507
1.3188,1.6457
1.3204,1.6507
1.3220,1.6507
1.3236,1.6507
1.3252,1.6457
1.3268,1.6507
1.3284,1.6507
1.3299,1.6406
1.3315,1.6457
1.3331,1.6457
1.3347,1.6457
1.3363,1.6507
1.3379,1.6507
1.3395,1.6457
1.3411,1.6507
1.3427,1.6507
1.3444,1.6457
1.3461,1.6507
1.3477,1.6507
1.3493,1.6507
1.3509,1.6507
1.3525,1.6457
1.3541,1.6507
1.3557,1.6507
1.3572,1.6457
1.3588,1.6507
1.3604,1.6507
1.3620,1.6457
1.3636,1.6507
1.3652,1.6457
1.3668,1.6457
1.3684,1.6558
1.3700,1.6507
1.3716,1.6507
1.3732,1.6507
1.3748,1.6507
1.3764,1.6507
1.3780,1.6457
1.3796,1.6457
1.3812,1.6507
1.3828,1.6507
1.3844,1.6507
1.3860,1.6457
1.3875,1.6507
1.3891,1.6507
1.3907,1.6457
1.3923,1.6507
1.3939,1.6507
1.3955,1.6507
1.3971,1.6507
1.3987,1.6457
1.4003,1.6507
1.4019,1.6507
1.4035,1.6457
1.4051,1.6507
1.4066,1.6507
1.4082,1.6507
1.4098,1.6558
1.4114,1.6507
1.4130,1.6507
1.4146,1.6457
1.4162,1.6507
1.4178,1.6507
1.4194,1.6507
1.4210,1.6507
1.4226,1.6457
1.4242,1.6507
1.4258,1.6507
1.4273,1.6457
1.4289,1.6507
1.4305,1.6507
1.4321,1.6507
1.4337,1.6507
1.4353,1.6507
1.4369,1.6507
1.4385,1.6507
1.4400,1.6457
1.4416,1.6507
1.4432,1.6507
1.4448,1.6457
1.4464,1.6507
1.4480,1.6507
1.4496,1.6558
1.4511,1.6507
1.4527,1.6507
1.4543,1.6507
1.4559,1.6507
1.4575,1.6507
1.4591,1.6507
1.4607,1.6507
1.4623,1.6507
1.4638,1.6507
1.4654,1.6558
1.4670,1.6507
1.4686,1.6457
1.4702,1.6507
1.4718,1.6507
1.4734,1.6507
1.4750,1.6507
1.4766,1.6507
1.4782,1.6457
1.4798,1.6507
1.4813,1.6457
1.4829,1.6457
1.4845,1.6507
1.4861,1.6507
1.4877,1.6507
1.4893,1.6406
1.4909,1.6507
1.4925,1.6457
1.4941,1.6507
1.4957,1.6507
1.4972,1.6507
1.4988,1.6507
1.5004,1.6457
1.5020,1.6457
1.5036,1.6507
1.5052,1.6457
1.5068,1.6507
1.5084,1.6507
1.5100,1.6507
1.5116,1.6457
1.5132,1.6507
1.5147,1.6457
1.5163,1.6507
1.5179,1.6507
1.5195,1.6507
1.5211,1.6457
1.5227,1.6457
1.5243,1.6457
1.5259,1.6457
1.5275,1.6507
1.5291,1.6558
1.5306,1.6507
1.5322,1.6507
1.5338,1.6507
1.5354,1.6457
1.5370,1.6457
1.5386,1.6507
1.5402,1.6507
1.5418,1.6507
1.5434,1.6507
1.5450,1.6507
1.5465,1.6507
1.5481,1.6457
1.5497,1.6507
1.5513,1.6507
1.5529,1.6507
1.5545,1.6507
1.5561,1.6507
1.5577,1.6457
1.5593,1.6507
1.5609,1.6507
1.5624,1.6507
1.5640,1.6457
1.5656,1.6507
1.5672,1.6507
1.5688,1.6507
1.5704,1.6507
1.5720,1.6507
1.5736,1.6457
1.5752,1.6507
1.5768,1.6507
1.5784,1.6507
1.5799,1.6507
1.5815,1.6507
1.5831,1.6457
1.5847,1.6507
1.5863,1.6507
1.5879,1.6507
1.5895,1.6507
1.5911,1.6507
1.5927,1.6507
1.5943,1.6507
1.5958,1.6507
1.5974,1.6457
1.5990,1.6507
1.6006,1.6507
1.6022,1.6507
1.6038,1.6457
1.6054,1.6406
1.6070,1.6507
1.6086,1.6457
1.6102,1.6507
1.6118,1.6507
1.6133,1.6507
1.6149,1.6507
1.6165,1.6507
1.6184,1.6507
1.6199,1.6457
1.6215,1.6558
1.6231,1.6507
1.6247,1.6507
1.6263,1.6457
1.6279,1.6507
1.6295,1.6507
1.6311,1.6507
1.6326,1.6507
1.6342,1.6507
1.6358,1.6406
1.6374,1.6507
1.6390,1.6507
1.6406,1.6457
1.6422,1.6507
1.6438,1.6457
1.6453,1.6507
1.6469,1.6507
1.6485,1.6406
1.6501,1.6507
1.6517,1.6507
1.6533,1.6507
1.6549,1.6507
1.6565,1.6507
1.6582,1.6457
1.6599,1.6457
1.6616,1.6507
1.6632,1.6507
1.6648,1.6507
1.6664,1.6507
1.6681,1.6507
1.6698,1.6507
1.6714,1.6507
1.6731,1.6507
1.6747,1.6457
1.6762,1.6406
1.6779,1.6507
1.6795,1.6507
1.6811,1.6507
1.6827,1.6558
1.6843,1.6507
1.6858,1.6457
1.6874,1.6406
1.6890,1.6457
1.6906,1.6507
1.6922,1.6507
1.6938,1.6406
1.6954,1.6507
1.6970,1.6457
1.6986,1.6457
1.7002,1.6507
1.7018,1.6507
1.7034,1.6457
1.7050,1.6507
1.7066,1.6507
1.7082,1.6457
1.7097,1.6457
1.7113,1.6507
1.7129,1.6507
1.7145,1.6507
1.7161,1.6507
1.7177,1.6507
1.7193,1.6507
1.7209,1.6558
1.7225,1.6406
1.7241,1.6507
1.7257,1.6507
1.7272,1.6457
1.7288,1.6507
1.7304,1.6457
1.7320,1.6507
1.7336,1.6507
1.7352,1.6558
1.7368,1.6457
1.7384,1.6507
1.7400,1.6507
1.7416,1.6507
1.7432,1.6507
1.7447,1.6507
1.7463,1.6457
1.7479,1.6507
1.7495,1.6457
1.7511,1.6507
1.7527,1.6507
1.7543,1.6507
1.7559,1.6507
1.7575,1.6558
1.7591,1.6507
1.7607,1.6406
1.7623,1.6507
1.7638,1.6507
1.7654,1.6507
1.7670,1.6507
1.7686,1.6457
1.7702,1.6507
1.7718,1.6507
1.7734,1.6457
1.7750,1.6457
1.7766,1.6457
1.7782,1.6507
1.7798,1.6457
1.7813,1.6457
1.7829,1.6507
1.7845,1.6507
1.7861,1.6507
1.7877,1.6558
1.7893,1.6507
1.7909,1.6457
1.7925,1.6507
1.7941,1.6457
1.7957,1.6457
1.7973,1.6457
1.7989,1.6507
1.8004,1.6457
1.8020,1.6457
1.8036,1.6507
1.8052,1.6507
1.8068,1.6457
1.8084,1.6457
1.8100,1.6457
1.8116,1.6457
1.8132,1.6507
1.8148,1.6457
1.8164,1.6457
1.8180,1.6457
1.8196,1.6507
1.8212,1.6558
1.8228,1.6507
1.8244,1.6457
1.8260,1.6507
1.8276,1.6558
1.8292,1.6507
1.8308,1.6507
1.8323,1.6507
1.8339,1.6507
1.8355,1.6507
1.8371,1.6457
1.8387,1.6457
1.8403,1.6507
1.8419,1.6507
1.8435,1.6457
1.8451,1.6457
1.8467,1.6507
1.8483,1.6457
1.8499,1.6457
1.8514,1.6507
1.8530,1.6507
1.8546,1.6507
1.8562,1.6507
1.8578,1.6457
1.8594,1.6507
1.8610,1.6406
1.8626,1.6457
1.8642,1.6507
1.8658,1.6507
1.8674,1.6507
1.8689,1.6457
1.8705,1.6507
1.8721,1.6406
1.8737,1.6457
1.8753,1.6457
1.8769,1.6457
1.8785,1.6507
1.8801,1.6507
1.8817,1.6507
1.8833,1.6457
1.8849,1.6507
1.8865,1.6507
1.8881,1.6507
1.8897,1.6406
1.8913,1.6406
1.8928,1.6507
1.8944,1.6507
1.8960,1.6457
1.8976,1.6507
1.8992,1.6457
1.9008,1.6457
1.9024,1.6507
1.9040,1.6507
1.9056,1.6457
1.9072,1.6507
1.9088,1.6457
1.9104,1.6507
1.9120,1.6507
1.9135,1.6507
1.9151,1.6507
1.9167,1.6507
1.9183,1.6507
1.9199,1.6457
1.9215,1.6507
1.9231,1.6507
1.9247,1.6457
1.9263,1.6507
1.9279,1.6507
1.9295,1.6558
1.9310,1.6507
1.9326,1.6507
1.9342,1.6507
1.9358,1.6507
1.9374,1.6507
1.9390,1.6507
1.9406,1.6507
1.9422,1.6457
1.9440,1.6507
1.9456,1.6507
1.9473,1.6507
1.9489,1.6406
1.9504,1.6507
1.9520,1.6507
1.9536,1.6558
1.9552,1.6507
1.9568,1.6507
1.9584,1.6507
1.9600,1.6507
1.9616,1.6507
1.9632,1.6507
1.9648,1.6507
1.9664,1.6457
1.9681,1.6507
1.9697,1.6507
1.9714,1.6507
